NodeID,PathIDs,TotalCost
371,371.0 366.0 375.0 367.0 372.0 379.0 377.0 378.0 105.0 104.0 108.0 257.0 99.0 96.0 97.0 98.0 100.0 286.0 283.0,765.218890491869
40,40.0 66.0 18.0 19.0 47.0 4.0 152.0 159.0 41.0 399.0 69.0 404.0 71.0 132.0 74.0 63.0 12.0 504.0 291.0 292.0 421.0 89.0 476.0 136.0 108.0 257.0 99.0 96.0 97.0 98.0 100.0 286.0 283.0,1662.4555418221782
91,91.0 330.0 329.0 388.0 389.0 387.0 130.0 385.0 126.0 120.0 93.0 94.0 112.0 109.0 97.0 98.0 100.0 286.0 283.0,1231.351951989325
180,180.0 150.0 406.0 402.0 69.0 404.0 71.0 132.0 74.0 63.0 12.0 504.0 291.0 292.0 421.0 89.0 476.0 136.0 108.0 257.0 99.0 96.0 97.0 98.0 100.0 286.0 283.0,1475.8596178477455
217,217.0 211.0 216.0 222.0 254.0 219.0 353.0 342.0 343.0 333.0 341.0 312.0 329.0 388.0 389.0 387.0 130.0 385.0 126.0 120.0 93.0 94.0 112.0 109.0 97.0 98.0 100.0 286.0 283.0,1690.4481727835007
509,509.0 114.0 511.0 510.0 299.0 515.0 115.0 119.0 408.0 302.0 303.0 306.0,1544.4936361940702
48,48.0 64.0 156.0 194.0 16.0 23.0 9.0 157.0 25.0 11.0 40.0 66.0 18.0 19.0 47.0 4.0 152.0 159.0 41.0 399.0 69.0 404.0 71.0 132.0 74.0 63.0 12.0 504.0 291.0 292.0 421.0 89.0 476.0 136.0 108.0 257.0 99.0 96.0 97.0 98.0 100.0 286.0 283.0,2088.9345612645047
65,65.0 17.0 46.0 13.0 137.0 56.0 1.0 18.0 19.0 47.0 4.0 152.0 159.0 41.0 399.0 69.0 404.0 71.0 132.0 74.0 63.0 12.0 504.0 291.0 292.0 421.0 89.0 476.0 136.0 108.0 257.0 99.0 96.0 97.0 98.0 100.0 286.0 283.0,1954.1564265705313
60,60.0 35.0 447.0 25.0 11.0 40.0 66.0 18.0 19.0 47.0 4.0 152.0 159.0 41.0 399.0 69.0 404.0 71.0 132.0 74.0 63.0 12.0 504.0 291.0 292.0 421.0 89.0 476.0 136.0 108.0 257.0 99.0 96.0 97.0 98.0 100.0 286.0 283.0,1865.6639121466173
159,159.0 41.0 399.0 69.0 404.0 71.0 132.0 74.0 63.0 12.0 504.0 291.0 292.0 421.0 89.0 476.0 136.0 108.0 257.0 99.0 96.0 97.0 98.0 100.0 286.0 283.0,1397.520440680223
191,191.0 193.0 401.0 397.0 400.0 396.0 407.0 403.0 398.0 399.0 69.0 404.0 71.0 132.0 74.0 63.0 12.0 504.0 291.0 292.0 421.0 89.0 476.0 136.0 108.0 257.0 99.0 96.0 97.0 98.0 100.0 286.0 283.0,1772.4056440675631
171,171.0 214.0 208.0 420.0 145.0 216.0 222.0 254.0 219.0 353.0 342.0 343.0 333.0 341.0 312.0 329.0 388.0 389.0 387.0 130.0 385.0 126.0 120.0 93.0 94.0 112.0 109.0 97.0 98.0 100.0 286.0 283.0,1920.1566047895967
106,106.0 293.0 136.0 108.0 257.0 99.0 96.0 97.0 98.0 100.0 286.0 283.0,819.344795449456
80,80.0 58.0 122.0 391.0 130.0 385.0 126.0 120.0 93.0 94.0 112.0 109.0 97.0 98.0 100.0 286.0 283.0,1282.2145901003948
